id,title,year,genre,budget,popularity,poster_path,release_date,revenue,runtime,tagline,production_countries,overview
550,Fight Club,1999,"['Drama', 'Thriller']",63000000.0,16.5831,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,1999-10-15,100853753,139,Mischief. Mayhem. Soap.,"['Germany', 'United States of America']","A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion."
11000,The Birdcage,1996,['Comedy'],31000000.0,2.0791,/hU2XeckncHS61TWZKDtw1BrKmOO.jpg,1996-03-08,185300000,119,Come as you are.,['United States of America'],A gay cabaret owner and his drag queen partner agree to put up a false heterosexual front so that their son can introduce them to his fiancée's conservative parents.
1114967,Good Fortune,2025,"['Comedy', 'Fantasy']",30000000.0,10.5273,/r83HIGA0mUiy7I9qVr17pF7SCDP.jpg,2025-10-14,0,98,Need a miracle?,['United States of America'],A well-meaning but rather inept angel named Gabriel meddles in the lives of a struggling gig worker and a wealthy capitalist.
7451,xXx,2002,"['Action', 'Adventure', 'Thriller', 'Crime']",70000000.0,128.3068,/xeEw3eLeSFmJgXZzmF2Efww0q3s.jpg,2002-08-09,277448382,124,A new breed of secret agent.,['United States of America'],"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi."
1242898,Predator: Badlands,2025,"['Action', 'Science Fiction', 'Adventure']",105000000.0,231.3564,/sMybEeAn3aFXsIUUcWPSFXlS6qS.jpg,2025-11-05,15600000,107,First hunt. Last chance.,['United States of America'],"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary."
1062722,Frankenstein,2025,"['Drama', 'Horror', 'Fantasy']",120000000.0,386.6643,/v9NLaLBbrkDwq44qG51v8T6sPuI.jpg,2025-10-17,144496,152,Only monsters play God.,"['United States of America', 'Canada']","Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation."
1248226,Playdate,2025,"['Action', 'Comedy', 'Family']",0.0,394.434,/fGodXWqJkkkbSebPIlxLSygV8GY.jpg,2025-11-05,0,95,Playtime just got real.,"['United States of America', 'Canada']","When out-of-work accountant Brian joins stay-at-home dad Jeff for a playdate with their sons, he expects a laid-back afternoon. Instead, they're chased by mercenaries, and Brian—totally unprepared—must survive one absurd obstacle after another."
1054867,One Battle After Another,2025,"['Action', 'Thriller', 'Crime']",130000000.0,376.4645,/m1jFoahEbeQXtx4zArT2FKdbNIj.jpg,2025-09-23,200300000,162,"Some search for battle, others are born into it...",['United States of America'],"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past."
1117857,In Your Dreams,2025,"['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy']",0.0,100.6091,/np7ZzU2rmUqqIPQ4HtfcC8JLOvS.jpg,2025-11-07,0,87,The adventure of a nighttime.,['United States of America'],Stevie and her little brother Elliot journey into the wildly absurd landscape of their own dreams to ask the Sandman to grant them the perfect family.
617126,The Fantastic 4: First Steps,2025,"['Science Fiction', 'Adventure', 'Action']",200000000.0,93.961,/2iZ0pypKSnSvwtj1u7Bth3xm6ru.jpg,2025-07-23,520652419,115,Welcome to the family.,['United States of America'],"Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer."
967941,Wicked: For Good,2025,"['Romance', 'Fantasy', 'Adventure']",150000000.0,55.8692,/si9tolnefLSUKaqQEGz1bWArOaL.jpg,2025-11-16,0,137,You will be changed.,['United States of America'],"As an angry mob rises against the Wicked Witch, Glinda and Elphaba will need to come together one final time. With their singular friendship now the fulcrum of their futures, they will need to truly see each other, with honesty and empathy, if they are to change themselves, and all of Oz, for good."
