id,logo,name,origin_country,movie_id
711,/tEiIH5QesdheJmDAqQwvtN60727.png,Fox 2000 Pictures,US,550
508,/4sGWXoboEkWPphI6es6rTmqkCBh.png,Regency Enterprises,US,550
4700,/A32wmjrs9Psf4zw0uaixF0GXfxq.png,Linson Entertainment,US,550
25,/qZCc1lty5FzX30aOCVRBLzaVmcp.png,20th Century Fox,US,550
20555,/hD8yEGUBlHOcfHYbujp71vD8gZp.png,Taurus Film,DE,550
60,/4YldLvCWQL9VIAHQ2Fu3Ffkh9Si.png,United Artists,US,11000
1632,/cisLn1YAUuptXVBa0xjq7ST9cH0.png,Lionsgate,US,1114967
221429,/7xNNmHcuDy0tOqZmsUMnZ6HcZ6E.png,Media Capital Technologies,US,1114967
168945,,Oh Brudder Productions,US,1114967
497,/wmxHM7w6JxbPwaopC6Sl4QSG2uH.png,Revolution Studios,US,7451
127928,/h0rjX5vjW5r8yEnUBStFarjcLT4.png,20th Century Studios,US,1242898
840,,Lawrence Gordon Productions,US,1242898
1302,/zC3b70ixHh89qJIikLQPEvLqbPM.png,Davis Entertainment,US,1242898
185309,,Toberoff Productions,US,1242898
22213,/qx9K6bFWJupwde0xQDwOvXkOaL8.png,TSG Entertainment,US,1242898
101082,/zjAYU6sUmYaeFeJ1yWeaqzsWAz8.png,Double Dare You,US,1062722
10678,,Demilo Films,CA,1062722
13778,,Bluegrass Films,US,1062722
